City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
chenghai,CN,23.46,116.77,18,63,0,2.85,1606848552
bluff,NZ,-46.6,168.33,14.44,52,100,1.79,1606848552
rantepao,ID,-2.97,119.9,19.29,88,86,1.13,1606848553
roma,US,43.21,-75.46,8.33,87,99,5.54,1606848553
rikitea,PF,-23.12,-134.97,24.12,71,65,3.22,1606848553
belaya gora,RU,68.53,146.42,-19.84,85,100,3.74,1606848553
hermanus,ZA,-34.42,19.23,14.44,76,83,4.72,1606848553
biharamulo,TZ,-2.63,31.31,16.74,87,99,0.77,1606848553
alofi,NU,-19.06,-169.92,25.49,86,45,7.51,1606848553
jamestown,US,42.1,-79.24,-0.56,92,90,6.7,1606848393
vaini,TO,-21.2,-175.2,24.22,73,100,6.09,1606848554
illoqqortoormiut,,,,,,,,
banjar,ID,-8.19,114.97,25.04,77,96,0.7,1606848554
hauterive,FR,46.09,3.45,6.67,80,100,2.68,1606848554
butaritari,KI,3.07,172.79,27.64,75,100,5.08,1606848554
albany,US,42.6,-73.97,11.67,47,10,0.45,1606848300
saint george,US,37.1,-113.58,10.56,27,0,0.89,1606848354
hobart,AU,-42.88,147.33,9.44,76,9,2.24,1606848445
hilo,US,19.73,-155.09,24.44,72,0,0.97,1606848555
adrar,MR,20.5,-10.07,26.48,17,100,3.24,1606848555
muros,ES,42.78,-9.06,11.11,71,100,0.45,1606848555
belushya guba,,,,,,,,
kruisfontein,ZA,-34,24.73,14.44,85,82,2.68,1606848555
ponta do sol,PT,32.67,-17.1,16.11,71,99,3.13,1606848556
trogir,HR,43.51,16.25,6.11,66,16,5.47,1606848369
bojaya,,,,,,,,
sinkat,,,,,,,,
boyuibe,BO,-20.42,-63.28,27.9,54,98,3.36,1606848556
bethel,US,41.37,-73.41,10.56,66,28,2.68,1606848331
sao filipe,CV,14.9,-24.5,24.88,68,100,4.95,1606848556
paucartambo,,,,,,,,
punta arenas,CL,-53.15,-70.92,8.97,52,61,12.03,1606848557
arraial do cabo,BR,-22.97,-42.03,25.73,80,100,2.51,1606848557
taolanaro,,,,,,,,
cape town,ZA,-33.93,18.42,17.78,69,20,0.89,1606848406
zolotinka,,,,,,,,
ust-nera,RU,64.57,143.2,-31.13,76,90,2.58,1606848557
puerto ayora,EC,-0.74,-90.35,23.89,85,87,2.24,1606848557
brae,GB,60.4,-1.35,9,70,100,5.7,1606848557
provideniya,RU,64.38,-173.3,-12.56,89,0,3.65,1606848558
ushuaia,AR,-54.8,-68.3,7.01,59,94,5.24,1606848402
lagoa,PT,39.05,-27.98,16.74,79,100,14.43,1606848558
borogontsy,RU,62.67,131.17,-27.55,88,100,2.42,1606848558
mataura,NZ,-46.19,168.86,14.44,52,100,1.79,1606848558
tuktoyaktuk,CA,69.45,-133.04,-17.67,92,100,6.86,1606848558
amderma,,,,,,,,
atuona,PF,-9.8,-139.03,25.57,79,0,6.44,1606848558
port hedland,AU,-20.32,118.57,28.98,68,5,2.44,1606848559
rawson,AR,-43.3,-65.1,25.84,17,0,6.19,1606848559
kathmandu,NP,27.72,85.32,10,93,20,1,1606848280
sentyabrskiy,,,,,,,,
kavaratti,IN,10.57,72.64,28.08,76,92,3.02,1606848559
ostrovnoy,RU,68.05,39.51,-1.39,94,100,11.81,1606848559
bargal,,,,,,,,
tonantins,BR,-2.87,-67.8,27.12,90,100,1.14,1606848559
san juan,AR,-31.54,-68.54,33.65,21,0,3.88,1606848560
nhulunbuy,AU,-12.23,136.77,27.36,81,100,1.97,1606848560
ilulissat,GL,69.22,-51.1,-13,94,100,1.98,1606848560
grants pass,US,42.44,-123.33,4,86,90,1.03,1606848560
mirabad,AF,30.44,61.84,11.64,42,0,0.96,1606848560
chapadinha,BR,-3.74,-43.36,32.57,50,88,0.21,1606848547
ugoofaaru,MV,5.67,73,28.24,78,100,4.43,1606848561
barrow,US,71.29,-156.79,-18.43,92,100,7.78,1606848561
thompson,CA,55.74,-97.86,-10,85,90,1,1606848561
quatre cocos,MU,-20.21,57.76,25.56,81,15,1.79,1606848561
castro,BR,-24.79,-50.01,23.9,77,77,1.39,1606848315
port alfred,ZA,-33.59,26.89,17.97,68,94,11.67,1606848561
raga,SS,8.46,25.68,24.25,21,0,1.94,1606848562
udachnyy,RU,66.42,112.4,-10.77,94,100,7.16,1606848562
la grande,US,45.32,-118.09,2.22,73,0,1.54,1606848562
avera,US,33.19,-82.53,6,41,1,7.2,1606848562
puerto del rosario,ES,28.5,-13.86,20.12,69,0,6.35,1606848562
butterworth,MY,5.4,100.36,24.66,87,100,2.5,1606848562
ribeira grande,PT,38.52,-28.7,16.75,78,100,15.08,1606848562
kununurra,AU,-15.77,128.73,24.61,80,100,5.97,1606848563
namibe,AO,-15.2,12.15,21.11,70,0,3.57,1606848563
lebu,CL,-37.62,-73.65,13.27,69,0,9.24,1606848563
san carlos de bariloche,AR,-41.15,-71.31,15.83,32,96,5.56,1606848563
la ronge,CA,55.1,-105.28,-2.45,95,100,6.35,1606848563
tuatapere,NZ,-46.13,167.68,14.44,52,100,1.79,1606848563
